ID,Exchange,Instrument,Market Active?,REST API root,Search helper
60114,binance,batpax,true,https://api.cryptowat.ch/markets/binance/batpax,binance batpax
60115,binance,battusd,true,https://api.cryptowat.ch/markets/binance/battusd,binance battusd
60116,binance,batusdc,true,https://api.cryptowat.ch/markets/binance/batusdc,binance batusdc
41115,binance,batusdt,true,https://api.cryptowat.ch/markets/binance/batusdt,binance batusdt
61119,binance,bccbnb,FALSE,https://api.cryptowat.ch/markets/binance/bccbnb,binance bccbnb
61116,binance,bccbtc,FALSE,https://api.cryptowat.ch/markets/binance/bccbtc,binance bccbtc
61117,binance,bcceth,FALSE,https://api.cryptowat.ch/markets/binance/bcceth,binance bcceth
61118,binance,bccusdt,FALSE,https://api.cryptowat.ch/markets/binance/bccusdt,binance bccusdt
2121,binance,bcdbtc,true,https://api.cryptowat.ch/markets/binance/bcdbtc,binance bcdbtc
1871,binance,bcdeth,true,https://api.cryptowat.ch/markets/binance/bcdeth,binance bcdeth
1868,binance,bchbnb,true,https://api.cryptowat.ch/markets/binance/bchbnb,binance bchbnb
5576,binance,bchbtc,true,https://api.cryptowat.ch/markets/binance/bchbtc,binance bchbtc
61306,binance,bchbusd,true,https://api.cryptowat.ch/markets/binance/bchbusd,binance bchbusd
948,binance,bcheth,true,https://api.cryptowat.ch/markets/binance/bcheth,binance bcheth
11368,binance,bchpax,true,https://api.cryptowat.ch/markets/binance/bchpax,binance bchpax
11369,binance,bchtusd,true,https://api.cryptowat.ch/markets/binance/bchtusd,binance bchtusd
11370,binance,bchusdc,true,https://api.cryptowat.ch/markets/binance/bchusdc,binance bchusdc
5583,binance,bchusdt,true,https://api.cryptowat.ch/markets/binance/bchusdt,binance bchusdt
1872,binance,bcnbnb,FALSE,https://api.cryptowat.ch/markets/binance/bcnbnb,binance bcnbnb
1129,binance,bcnbtc,FALSE,https://api.cryptowat.ch/markets/binance/bcnbtc,binance bcnbtc
1649,binance,bcneth,FALSE,https://api.cryptowat.ch/markets/binance/bcneth,binance bcneth
1875,binance,bcptbnb,true,https://api.cryptowat.ch/markets/binance/bcptbnb,binance bcptbnb
1199,binance,bcptbtc,true,https://api.cryptowat.ch/markets/binance/bcptbtc,binance bcptbtc
1180,binance,bcpteth,true,https://api.cryptowat.ch/markets/binance/bcpteth,binance bcpteth
60477,binance,bcptpax,FALSE,https://api.cryptowat.ch/markets/binance/bcptpax,binance bcptpax
60478,binance,bcpttusd,FALSE,https://api.cryptowat.ch/markets/binance/bcpttusd,binance bcpttusd
60479,binance,bcptusdc,FALSE,https://api.cryptowat.ch/markets/binance/bcptusdc,binance bcptusdc
61146,binance,beambnb,true,https://api.cryptowat.ch/markets/binance/beambnb,binance beambnb
61147,binance,beambtc,true,https://api.cryptowat.ch/markets/binance/beambtc,binance beambtc
61148,binance,beamusdt,true,https://api.cryptowat.ch/markets/binance/beamusdt,binance beamusdt
61703,binance,bearbusd,true,https://api.cryptowat.ch/markets/binance/bearbusd,binance bearbusd
61702,binance,bearusdt,true,https://api.cryptowat.ch/markets/binance/bearusdt,binance bearusdt
2122,binance,blzbnb,true,https://api.cryptowat.ch/markets/binance/blzbnb,binance blzbnb
1878,binance,blzbtc,true,https://api.cryptowat.ch/markets/binance/blzbtc,binance blzbtc
